home_team,away_team,home_goal,away_goal,season,round,data,hora,home_team_state_BA,home_team_state_CE,home_team_state_GO,home_team_state_MG,home_team_state_MT,home_team_state_PE,home_team_state_PR,home_team_state_RJ,home_team_state_RS,home_team_state_SC,home_team_state_SP,away_team_state_BA,away_team_state_CE,away_team_state_GO,away_team_state_MG,away_team_state_MT,away_team_state_PE,away_team_state_PR,away_team_state_RJ,away_team_state_RS,away_team_state_SC,away_team_state_SP
Palmeiras,Portuguesa,1,1,2012,1,2012-05-19,18:30:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Sport,Flamengo,1,1,2012,1,2012-05-19,18:30:00,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Figueirense,Nautico,2,1,2012,1,2012-05-19,21:00:00,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Ponte Preta,Atletico-MG,0,1,2012,1,2012-05-20,16:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Corinthians,Fluminense,0,1,2012,1,2012-05-20,16:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Botafogo,Sao Paulo,4,2,2012,1,2012-05-20,16:00:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Internacional,Coritiba,2,0,2012,1,2012-05-20,16:00:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Vasco,Gremio,2,1,2012,1,2012-05-20,18:30:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Bahia,Santos,0,0,2012,1,2012-05-20,18:30:00,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Cruzeiro,Atletico-GO,0,0,2012,1,2012-05-20,18:30:00,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Atletico-GO,Ponte Preta,1,1,2012,2,2012-05-26,18:30:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Flamengo,Internacional,3,3,2012,2,2012-05-26,18:30:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Portuguesa,Vasco,0,1,2012,2,2012-05-26,18:30:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Nautico,Cruzeiro,0,0,2012,2,2012-05-26,21:00:00,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Santos,Sport,0,0,2012,2,2012-05-27,16:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
Atletico-MG,Corinthians,1,0,2012,2,2012-05-27,16:00:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Coritiba,Botafogo,2,3,2012,2,2012-05-27,16:00:00,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Sao Paulo,Bahia,1,0,2012,2,2012-05-27,16:00:00,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Gremio,Palmeiras,1,0,2012,2,2012-05-27,18:30:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Fluminense,Figueirense,2,2,2012,2,2012-05-27,18:30:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Atletico-GO,Gremio,0,1,2012,3,2012-06-06,19:30:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Sport,Palmeiras,2,1,2012,3,2012-06-06,19:30:00,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Vasco,Nautico,4,2,2012,3,2012-06-06,20:30:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Atletico-MG,Bahia,1,1,2012,3,2012-06-06,20:30:00,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Coritiba,Portuguesa,2,0,2012,3,2012-06-06,20:30:00,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Ponte Preta,Flamengo,2,2,2012,3,2012-06-06,21:50:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Internacional,Sao Paulo,1,0,2012,3,2012-06-06,21:50:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Santos,Fluminense,1,1,2012,3,2012-06-06,21:50:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Corinthians,Figueirense,1,1,2012,3,2012-06-07,21:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Botafogo,Cruzeiro,2,3,2012,3,2012-06-07,21:00:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Flamengo,Coritiba,3,1,2012,4,2012-06-09,18:30:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Palmeiras,Atletico-MG,0,1,2012,4,2012-06-09,21:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Portuguesa,Atletico-GO,2,0,2012,4,2012-06-10,16:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
Gremio,Corinthians,2,0,2012,4,2012-06-10,17:00:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Fluminense,Internacional,0,0,2012,4,2012-06-10,17:00:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Bahia,Vasco,1,2,2012,4,2012-06-10,17:00:00,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Nautico,Botafogo,3,2,2012,4,2012-06-10,18:30:00,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Figueirense,Ponte Preta,0,0,2012,4,2012-06-10,18:30:00,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Cruzeiro,Sport,1,0,2012,4,2012-06-10,18:30:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Sao Paulo,Santos,1,0,2012,4,2012-06-10,18:30:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Internacional,Botafogo,1,2,2012,5,2012-06-16,18:30:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Cruzeiro,Figueirense,1,0,2012,5,2012-06-16,18:30:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Fluminense,Portuguesa,4,1,2012,5,2012-06-16,21:00:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
